"state_code","category","description","unit","amount"
"ID","Renewable-Consumption","Change 2010-2020","Billion Btu",25727
"ID","Renewable-Consumption","Change 2000-2010","Billion Btu",-8791
"ID","Renewable-Production","Percent Change 1990-2000","Billion Btu",10.93
"ID","Renewable-Production","Percent Change 2010-2020","Billion Btu",9.69
"ID","Renewable-Production","Percent Change 1980-1990","Billion Btu",3.27
"ID","Renewable-Production","Change 1980-1990","Billion Btu",11517
"ID","Renewable-Production","Percent Change 2000-2010","Billion Btu",-5.69
"ID","Renewable-Production","Change 2010-2020","Billion Btu",41752
"ID","Renewable-Production","Change 1970-1980","Billion Btu",55342
"ID","Renewable-Production","Percent Change 1970-1980","Billion Btu",17.71
"ID","Renewable-Production","Change 1990-2000","Billion Btu",43851
"ID","Renewable-Production","Change 2000-2010","Billion Btu",-22771
"IL","Fossil Fuel-Consumption","Change 1980-1990","Billion Btu",-567491
"IL","Fossil Fuel-Consumption","Change 2000-2010","Billion Btu",-84479
"IL","Fossil Fuel-Consumption","Percent Change 1980-1990","Billion Btu",-12.65
"IL","Fossil Fuel-Consumption","Change 2010-2020","Billion Btu",-642417
"IL","Fossil Fuel-Consumption","Change 1990-2000","Billion Btu",515402
"IL","Fossil Fuel-Consumption","Change 1970-1980","Billion Btu",-242167
"IL","Fossil Fuel-Consumption","Percent Change 1970-1980","Billion Btu",-4.68
"IL","Fossil Fuel-Consumption","Percent Change 1990-2000","Billion Btu",10.93
"IL","Fossil Fuel-Consumption","Percent Change 2010-2020","Billion Btu",-15.28
"IL","Fossil Fuel-Consumption","Percent Change 2000-2010","Billion Btu",-1.73
"IL","Fossil Fuel-Production","Percent Change 1980-1990","Billion Btu",-1.03
"IL","Fossil Fuel-Production","Change 1990-2000","Billion Btu",-619808
"IL","Fossil Fuel-Production","Change 1970-1980","Billion Btu",-210547
"IL","Fossil Fuel-Production","Change 2010-2020","Billion Btu",-89762
"IL","Fossil Fuel-Production","Percent Change 1970-1980","Billion Btu",-9.00
"IL","Fossil Fuel-Production","Change 1980-1990","Billion Btu",-22833
"IL","Fossil Fuel-Production","Percent Change 1990-2000","Billion Btu",-39.25
"IL","Fossil Fuel-Production","Percent Change 2000-2010","Billion Btu",-2.11
"IL","Fossil Fuel-Production","Percent Change 2010-2020","Billion Btu",-7.87
"IL","Fossil Fuel-Production","Change 2000-2010","Billion Btu",-26179
"IL","Nuclear-Consumption","Percent Change 2010-2020","Billion Btu",2.67
"IL","Nuclear-Consumption","Percent Change 1990-2000","Billion Btu",13.10
"IL","Nuclear-Consumption","Change 2010-2020","Billion Btu",41395
"IL","Nuclear-Consumption","Change 1970-1980","Billion Btu",275004
"IL","Nuclear-Consumption","Change 1990-2000","Billion Btu",172038
"IL","Nuclear-Consumption","Percent Change 1980-1990","Billion Btu",50.23
"IL","Nuclear-Consumption","Change 1980-1990","Billion Btu",458107
"IL","Nuclear-Consumption","Percent Change 2000-2010","Billion Btu",4.93
"IL","Nuclear-Consumption","Percent Change 1970-1980","Billion Btu",86.92
"IL","Nuclear-Consumption","Change 2000-2010","Billion Btu",72625
"IL","Renewable-Consumption","Change 1980-1990","Billion Btu",10615
"IL","Renewable-Consumption","Change 1990-2000","Billion Btu",-5293
"IL","Renewable-Consumption","Change 2000-2010","Billion Btu",118702
"IL","Renewable-Consumption","Change 2010-2020","Billion Btu",81029
"IL","Renewable-Consumption","Change 1970-1980","Billion Btu",51302
"IL","Renewable-Consumption","Percent Change 1970-1980","Billion Btu",45.44
"IL","Renewable-Consumption","Percent Change 1990-2000","Billion Btu",-3.55
"IL","Renewable-Consumption","Percent Change 2000-2010","Billion Btu",44.75
"IL","Renewable-Consumption","Percent Change 2010-2020","Billion Btu",19.98
"IL","Renewable-Consumption","Percent Change 1980-1990","Billion Btu",7.12
"IL","Renewable-Production","Percent Change 1970-1980","Billion Btu",45.44
"IL","Renewable-Production","Percent Change 1980-1990","Billion Btu",1.31
"IL","Renewable-Production","Percent Change 2000-2010","Billion Btu",49.42
"IL","Renewable-Production","Percent Change 1990-2000","Billion Btu",-12.58
"IL","Renewable-Production","Change 2000-2010","Billion Btu",229836
"IL","Renewable-Production","Change 1970-1980","Billion Btu",102603
"IL","Renewable-Production","Percent Change 2010-2020","Billion Btu",21.98
"IL","Renewable-Production","Change 1990-2000","Billion Btu",-31574
"IL","Renewable-Production","Change 2010-2020","Billion Btu",163396
"IL","Renewable-Production","Change 1980-1990","Billion Btu",3673
"IN","Fossil Fuel-Consumption","Change 1990-2000","Billion Btu",387449
"IN","Fossil Fuel-Consumption","Percent Change 1990-2000","Billion Btu",8.93
"IN","Fossil Fuel-Consumption","Percent Change 2010-2020","Billion Btu",-15.47
"IN","Fossil Fuel-Consumption","Change 1970-1980","Billion Btu",95454
"IN","Fossil Fuel-Consumption","Change 2010-2020","Billion Btu",-552089
"IN","Fossil Fuel-Consumption","Change 2000-2010","Billion Btu",-274292
"IN","Fossil Fuel-Consumption","Percent Change 1980-1990","Billion Btu",6.58
"IN","Fossil Fuel-Consumption","Percent Change 1970-1980","Billion Btu",2.71
"IN","Fossil Fuel-Consumption","Change 1980-1990","Billion Btu",251721
"IN","Fossil Fuel-Consumption","Percent Change 2000-2010","Billion Btu",-6.44
"IN","Fossil Fuel-Production","Change 2010-2020","Billion Btu",-342785
"IN","Fossil Fuel-Production","Percent Change 2010-2020","Billion Btu",-39.88
"IN","Fossil Fuel-Production","Percent Change 2000-2010","Billion Btu",15.04
"IN","Fossil Fuel-Production","Change 1970-1980","Billion Btu",160211
"IN","Fossil Fuel-Production","Change 1980-1990","Billion Btu",114853
"IN","Fossil Fuel-Production","Percent Change 1980-1990","Billion Btu",9.86
"IN","Fossil Fuel-Production","Percent Change 1990-2000","Billion Btu",-17.43
"IN","Fossil Fuel-Production","Change 1990-2000","Billion Btu",-181368
"IN","Fossil Fuel-Production","Percent Change 1970-1980","Billion Btu",16.52
"IN","Fossil Fuel-Production","Change 2000-2010","Billion Btu",168195
"IN","Nuclear-Consumption","Percent Change 1980-1990","Billion Btu",0
"IN","Nuclear-Consumption","Percent Change 2000-2010","Billion Btu",0
"IN","Nuclear-Consumption","Change 1980-1990","Billion Btu",0
"IN","Nuclear-Consumption","Change 2010-2020","Billion Btu",0
"IN","Nuclear-Consumption","Percent Change 1990-2000","Billion Btu",0
"IN","Nuclear-Consumption","Percent Change 1970-1980","Billion Btu",0
"IN","Nuclear-Consumption","Change 1990-2000","Billion Btu",0
"IN","Nuclear-Consumption","Percent Change 2010-2020","Billion Btu",0
"IN","Nuclear-Consumption","Change 2000-2010","Billion Btu",0
"IN","Nuclear-Consumption","Change 1970-1980","Billion Btu",0
"IN","Renewable-Consumption","Percent Change 1990-2000","Billion Btu",-15.35
"IN","Renewable-Consumption","Percent Change 2010-2020","Billion Btu",13.32
"IN","Renewable-Consumption","Change 1970-1980","Billion Btu",27651
"IN","Renewable-Consumption","Change 2010-2020","Billion Btu",34167
"IN","Renewable-Consumption","Percent Change 2000-2010","Billion Btu",57.71
"IN","Renewable-Consumption","Percent Change 1980-1990","Billion Btu",5.25
"IN","Renewable-Consumption","Change 2000-2010","Billion Btu",99617
"IN","Renewable-Consumption","Change 1980-1990","Billion Btu",4667
"IN","Renewable-Consumption","Change 1990-2000","Billion Btu",-12138
"IN","Renewable-Consumption","Percent Change 1970-1980","Billion Btu",39.28
"IN","Renewable-Production","Change 1990-2000","Billion Btu",-33044
"IN","Renewable-Production","Percent Change 1990-2000","Billion Btu",-24.46
"IN","Renewable-Production","Percent Change 2000-2010","Billion Btu",62.56
"IN","Renewable-Production","Percent Change 1970-1980","Billion Btu",39.28
"IN","Renewable-Production","Change 1980-1990","Billion Btu",-200
"IN","Renewable-Production","Change 2000-2010","Billion Btu",198090
"IN","Renewable-Production","Percent Change 2010-2020","Billion Btu",14.83
"IN","Renewable-Production","Change 2010-2020","Billion Btu",72383
"IN","Renewable-Production","Change 1970-1980","Billion Btu",55302
"IN","Renewable-Production","Percent Change 1980-1990","Billion Btu",-0.12
"KS","Fossil Fuel-Consumption","Change 1990-2000","Billion Btu",43542
"KS","Fossil Fuel-Consumption","Percent Change 2010-2020","Billion Btu",-11.95
"KS","Fossil Fuel-Consumption","Percent Change 2000-2010","Billion Btu",-5.17
"KS","Fossil Fuel-Consumption","Percent Change 1980-1990","Billion Btu",-1.47
"KS","Fossil Fuel-Consumption","Change 2010-2020","Billion Btu",-158311
"KS","Fossil Fuel-Consumption","Percent Change 1970-1980","Billion Btu",10.61
"KS","Fossil Fuel-Consumption","Change 2000-2010","Billion Btu",-78622
"KS","Fossil Fuel-Consumption","Change 1970-1980","Billion Btu",158069
"KS","Fossil Fuel-Consumption","Change 1980-1990","Billion Btu",-22738
"KS","Fossil Fuel-Consumption","Percent Change 1990-2000","Billion Btu",2.76
"KS","Fossil Fuel-Production","Change 2010-2020","Billion Btu",-76967
"KS","Fossil Fuel-Production","Percent Change 1990-2000","Billion Btu",-36.05
"KS","Fossil Fuel-Production","Change 1990-2000","Billion Btu",-134691
"KS","Fossil Fuel-Production","Percent Change 1970-1980","Billion Btu",-25.56
"KS","Fossil Fuel-Production","Percent Change 2010-2020","Billion Btu",-27.52
"KS","Fossil Fuel-Production","Percent Change 2000-2010","Billion Btu",9.88
"KS","Fossil Fuel-Production","Change 1970-1980","Billion Btu",-160840
"KS","Fossil Fuel-Production","Change 2000-2010","Billion Btu",33594
"KS","Fossil Fuel-Production","Percent Change 1980-1990","Billion Btu",-5.19
"KS","Fossil Fuel-Production","Change 1980-1990","Billion Btu",-27086
"KS","Nuclear-Consumption","Percent Change 2000-2010","Billion Btu",3.66
"KS","Nuclear-Consumption","Percent Change 2010-2020","Billion Btu",6.62
"KS","Nuclear-Consumption","Percent Change 1970-1980","Billion Btu",0
"KS","Nuclear-Consumption","Percent Change 1980-1990","Billion Btu",100.00
"KS","Nuclear-Consumption","Change 2000-2010","Billion Btu",5381
"KS","Nuclear-Consumption","Change 1990-2000","Billion Btu",11167
"KS","Nuclear-Consumption","Change 2010-2020","Billion Btu",10626
"KS","Nuclear-Consumption","Percent Change 1990-2000","Billion Btu",8.20
"KS","Nuclear-Consumption","Change 1980-1990","Billion Btu",83328
"KS","Nuclear-Consumption","Change 1970-1980","Billion Btu",0
"KS","Renewable-Consumption","Change 1980-1990","Billion Btu",4781
"KS","Renewable-Consumption","Change 2000-2010","Billion Btu",65338
"KS","Renewable-Consumption","Percent Change 2010-2020","Billion Btu",62.17
"KS","Renewable-Consumption","Percent Change 1980-1990","Billion Btu",25.97
"KS","Renewable-Consumption","Change 1990-2000","Billion Btu",-3949
"KS","Renewable-Consumption","Change 1970-1980","Billion Btu",5358
"KS","Renewable-Consumption","Change 2010-2020","Billion Btu",185508
"KS","Renewable-Consumption","Percent Change 1990-2000","Billion Btu",-23.43
"KS","Renewable-Consumption","Percent Change 2000-2010","Billion Btu",81.45
"KS","Renewable-Consumption","Percent Change 1970-1980","Billion Btu",48.92
"KS","Renewable-Production","Percent Change 1970-1980","Billion Btu",48.92
"KS","Renewable-Production","Percent Change 2000-2010","Billion Btu",80.62
"KS","Renewable-Production","Change 2000-2010","Billion Btu",124690
"KS","Renewable-Production","Percent Change 1990-2000","Billion Btu",-20.57
"KS","Renewable-Production","Change 1970-1980","Billion Btu",10716
"KS","Renewable-Production","Change 1980-1990","Billion Btu",8683
"KS","Renewable-Production","Percent Change 2010-2020","Billion Btu",63.28
"KS","Renewable-Production","Change 2010-2020","Billion Btu",374052
"KS","Renewable-Production","Change 1990-2000","Billion Btu",-6873
"KS","Renewable-Production","Percent Change 1980-1990","Billion Btu",24.16
"KY","Fossil Fuel-Consumption","Percent Change 2010-2020","Billion Btu",-22.20
"KY","Fossil Fuel-Consumption","Percent Change 2000-2010","Billion Btu",2.38
"KY","Fossil Fuel-Consumption","Change 1980-1990","Billion Btu",169972
"KY","Fossil Fuel-Consumption","Change 2000-2010","Billion Btu",66835
"KY","Fossil Fuel-Consumption","Change 1970-1980","Billion Btu",189840
"KY","Fossil Fuel-Consumption","Percent Change 1980-1990","Billion Btu",7.87
"KY","Fossil Fuel-Consumption","Percent Change 1970-1980","Billion Btu",10.02
"KY","Fossil Fuel-Consumption","Percent Change 1990-2000","Billion Btu",12.80
"KY","Fossil Fuel-Consumption","Change 2010-2020","Billion Btu",-515947
"KY","Fossil Fuel-Consumption","Change 1990-2000","Billion Btu",329571
"KY","Fossil Fuel-Production","Change 1990-2000","Billion Btu",-1155443
"KY","Fossil Fuel-Production","Change 2010-2020","Billion Btu",-1986724
"KY","Fossil Fuel-Production","Change 1980-1990","Billion Btu",707885
"KY","Fossil Fuel-Production","Change 2000-2010","Billion Btu",-719588
"KY","Fossil Fuel-Production","Percent Change 2000-2010","Billion Btu",-17.07
"KY","Fossil Fuel-Production","Percent Change 1980-1990","Billion Btu",11.21
"KY","Fossil Fuel-Production","Percent Change 2010-2020","Billion Btu",-106.28
"KY","Fossil Fuel-Production","Change 1970-1980","Billion Btu",653149
"KY","Fossil Fuel-Production","Percent Change 1990-2000","Billion Btu",-20.96
"KY","Fossil Fuel-Production","Percent Change 1970-1980","Billion Btu",12.37
"KY","Nuclear-Consumption","Change 2000-2010","Billion Btu",0
"KY","Nuclear-Consumption","Percent Change 1990-2000","Billion Btu",0
"KY","Nuclear-Consumption","Percent Change 1970-1980","Billion Btu",0
"KY","Nuclear-Consumption","Change 2010-2020","Billion Btu",0
"KY","Nuclear-Consumption","Change 1990-2000","Billion Btu",0
"KY","Nuclear-Consumption","Percent Change 2010-2020","Billion Btu",0
"KY","Nuclear-Consumption","Change 1980-1990","Billion Btu",0
"KY","Nuclear-Consumption","Change 1970-1980","Billion Btu",0
"KY","Nuclear-Consumption","Percent Change 2000-2010","Billion Btu",0
"KY","Nuclear-Consumption","Percent Change 1980-1990","Billion Btu",0
"KY","Renewable-Consumption","Change 1990-2000","Billion Btu",-17105
"KY","Renewable-Consumption","Percent Change 2000-2010","Billion Btu",46.98
"KY","Renewable-Consumption","Change 2010-2020","Billion Btu",16313
"KY","Renewable-Consumption","Change 2000-2010","Billion Btu",48230
"KY","Renewable-Consumption","Percent Change 1990-2000","Billion Btu",-27.16
"KY","Renewable-Consumption","Percent Change 1970-1980","Billion Btu",-1.42
"KY","Renewable-Consumption","Percent Change 2010-2020","Billion Btu",11.40
"KY","Renewable-Consumption","Change 1970-1980","Billion Btu",-1201
"KY","Renewable-Consumption","Percent Change 1980-1990","Billion Btu",-2.99
"KY","Renewable-Consumption","Change 1980-1990","Billion Btu",-2431
"KY","Renewable-Production","Percent Change 1980-1990","Billion Btu",-6.82
"KY","Renewable-Production","Percent Change 2010-2020","Billion Btu",14.08
"KY","Renewable-Production","Change 1970-1980","Billion Btu",-2401
"KY","Renewable-Production","Change 2010-2020","Billion Btu",33259
"KY","Renewable-Production","Percent Change 1970-1980","Billion Btu",-1.42
"KY","Renewable-Production","Change 2000-2010","Billion Btu",63181
"KY","Renewable-Production","Percent Change 1990-2000","Billion Btu",-23.53
"KY","Renewable-Production","Percent Change 2000-2010","Billion Btu",36.88
"KY","Renewable-Production","Change 1980-1990","Billion Btu",-10692
"KY","Renewable-Production","Change 1990-2000","Billion Btu",-28848
"LA","Fossil Fuel-Consumption","Change 2010-2020","Billion Btu",42669
"LA","Fossil Fuel-Consumption","Percent Change 1980-1990","Billion Btu",-4.66
"LA","Fossil Fuel-Consumption","Percent Change 2000-2010","Billion Btu",-5.95
"LA","Fossil Fuel-Consumption","Change 2000-2010","Billion Btu",-340852
"LA","Fossil Fuel-Consumption","Percent Change 1970-1980","Billion Btu",18.15
"LA","Fossil Fuel-Consumption","Change 1990-2000","Billion Btu",570018
"LA","Fossil Fuel-Consumption","Change 1980-1990","Billion Btu",-248962
"LA","Fossil Fuel-Consumption","Percent Change 1990-2000","Billion Btu",9.86
"LA","Fossil Fuel-Consumption","Percent Change 2010-2020","Billion Btu",0.76
"LA","Fossil Fuel-Consumption","Change 1970-1980","Billion Btu",929689
"LA","Fossil Fuel-Production","Percent Change 1980-1990","Billion Btu",-22.39
"LA","Fossil Fuel-Production","Percent Change 2010-2020","Billion Btu",-51.64
"LA","Fossil Fuel-Production","Change 1990-2000","Billion Btu",-237947
"LA","Fossil Fuel-Production","Change 1980-1990","Billion Btu",-340253
"LA","Fossil Fuel-Production","Percent Change 1970-1980","Billion Btu",-72.68
"LA","Fossil Fuel-Production","Change 2000-2010","Billion Btu",-215505
"LA","Fossil Fuel-Production","Percent Change 1990-2000","Billion Btu",-21.40
"LA","Fossil Fuel-Production","Change 2010-2020","Billion Btu",-228025
"LA","Fossil Fuel-Production","Change 1970-1980","Billion Btu",-2123834
"LA","Fossil Fuel-Production","Percent Change 2000-2010","Billion Btu",-27.72
"LA","Nuclear-Consumption","Percent Change 1970-1980","Billion Btu",0
"LA","Nuclear-Consumption","Percent Change 1990-2000","Billion Btu",6.05
"LA","Nuclear-Consumption","Change 2000-2010","Billion Btu",30084
"LA","Nuclear-Consumption","Percent Change 2000-2010","Billion Btu",10.85
"LA","Nuclear-Consumption","Change 1990-2000","Billion Btu",14504
"LA","Nuclear-Consumption","Percent Change 2010-2020","Billion Btu",-6.50
"LA","Nuclear-Consumption","Change 2010-2020","Billion Btu",-17830
"LA","Nuclear-Consumption","Change 1970-1980","Billion Btu",0
"LA","Nuclear-Consumption","Percent Change 1980-1990","Billion Btu",100.00
"LA","Nuclear-Consumption","Change 1980-1990","Billion Btu",150230
"LA","Renewable-Consumption","Change 1980-1990","Billion Btu",60809
"LA","Renewable-Consumption","Change 2010-2020","Billion Btu",10401
"LA","Renewable-Consumption","Percent Change 1970-1980","Billion Btu",27.00
"LA","Renewable-Consumption","Percent Change 1990-2000","Billion Btu",8.21
"LA","Renewable-Consumption","Change 1990-2000","Billion Btu",16836
"LA","Renewable-Consumption","Percent Change 1980-1990","Billion Btu",38.52
"LA","Renewable-Consumption","Percent Change 2010-2020","Billion Btu",4.90
"LA","Renewable-Consumption","Percent Change 2000-2010","Billion Btu",-3.84
"LA","Renewable-Consumption","Change 2000-2010","Billion Btu",-7889
"LA","Renewable-Consumption","Change 1970-1980","Billion Btu",23087
"LA","Renewable-Production","Percent Change 2000-2010","Billion Btu",-15.79
"LA","Renewable-Production","Percent Change 2010-2020","Billion Btu",9.57
"LA","Renewable-Production","Percent Change 1980-1990","Billion Btu",38.39
"LA","Renewable-Production","Percent Change 1990-2000","Billion Btu",8.36
"LA","Renewable-Production","Change 1970-1980","Billion Btu",46174
"LA","Renewable-Production","Change 2010-2020","Billion Btu",35949
"LA","Renewable-Production","Change 1980-1990","Billion Btu",120984
"LA","Renewable-Production","Percent Change 1970-1980","Billion Btu",27.00
"LA","Renewable-Production","Change 1990-2000","Billion Btu",34259
"LA","Renewable-Production","Change 2000-2010","Billion Btu",-58240
"MA","Fossil Fuel-Consumption","Percent Change 1990-2000","Billion Btu",1.00
"MA","Fossil Fuel-Consumption","Change 1990-2000","Billion Btu",18162
"MA","Fossil Fuel-Consumption","Change 1970-1980","Billion Btu",-308185
"MA","Fossil Fuel-Consumption","Change 2000-2010","Billion Btu",-92630
"MA","Fossil Fuel-Consumption","Percent Change 1970-1980","Billion Btu",-17.04
"MA","Fossil Fuel-Consumption","Percent Change 1980-1990","Billion Btu",5.21
"MA","Fossil Fuel-Consumption","Change 1980-1990","Billion Btu",90957
"MA","Fossil Fuel-Consumption","Percent Change 2010-2020","Billion Btu",-19.05
"MA","Fossil Fuel-Consumption","Percent Change 2000-2010","Billion Btu",-5.37
"MA","Fossil Fuel-Consumption","Change 2010-2020","Billion Btu",-268696
"MA","Fossil Fuel-Production","Percent Change 2000-2010","Billion Btu",0
"MA","Fossil Fuel-Production","Change 1980-1990","Billion Btu",0
"MA","Fossil Fuel-Production","Change 1970-1980","Billion Btu",0
"MA","Fossil Fuel-Production","Change 2000-2010","Billion Btu",0
"MA","Fossil Fuel-Production","Change 1990-2000","Billion Btu",0
"MA","Fossil Fuel-Production","Change 2010-2020","Billion Btu",0
"MA","Fossil Fuel-Production","Percent Change 2010-2020","Billion Btu",0
"MA","Fossil Fuel-Production","Percent Change 1990-2000","Billion Btu",0
"MA","Fossil Fuel-Production","Percent Change 1970-1980","Billion Btu",0
"MA","Fossil Fuel-Production","Percent Change 1980-1990","Billion Btu",0
"MA","Nuclear-Consumption","Percent Change 2000-2010","Billion Btu",4.82
"MA","Nuclear-Consumption","Change 1980-1990","Billion Btu",18392
"MA","Nuclear-Consumption","Change 2010-2020","Billion Btu",-61853
"MA","Nuclear-Consumption","Percent Change 1980-1990","Billion Btu",25.80
"MA","Nuclear-Consumption","Percent Change 1990-2000","Billion Btu",4.55
"MA","Nuclear-Consumption","Change 2000-2010","Billion Btu",4366
"MA","Nuclear-Consumption","Percent Change 2010-2020","Billion Btu",-200.00
"MA","Nuclear-Consumption","Change 1970-1980","Billion Btu",21983
"MA","Nuclear-Consumption","Change 1990-2000","Billion Btu",3840
"MA","Nuclear-Consumption","Percent Change 1970-1980","Billion Btu",52.48
"MA","Renewable-Consumption","Percent Change 2010-2020","Billion Btu",14.65
"MA","Renewable-Consumption","Change 1990-2000","Billion Btu",4200
"MA","Renewable-Consumption","Percent Change 1980-1990","Billion Btu",-7.12
"MA","Renewable-Consumption","Percent Change 1990-2000","Billion Btu",4.11
"MA","Renewable-Consumption","Change 2000-2010","Billion Btu",5861
"MA","Renewable-Consumption","Change 1970-1980","Billion Btu",7452
"MA","Renewable-Consumption","Percent Change 2000-2010","Billion Btu",5.33
"MA","Renewable-Consumption","Percent Change 1970-1980","Billion Btu",7.10
"MA","Renewable-Consumption","Change 1980-1990","Billion Btu",-7232
"MA","Renewable-Consumption","Change 2010-2020","Billion Btu",19393
"MA","Renewable-Production","Change 2010-2020","Billion Btu",46451
"MA","Renewable-Production","Change 1980-1990","Billion Btu",-14464
"MA","Renewable-Production","Percent Change 1970-1980","Billion Btu",7.10
"MA","Renewable-Production","Change 2000-2010","Billion Btu",-37582
"MA","Renewable-Production","Change 1990-2000","Billion Btu",8401
"MA","Renewable-Production","Percent Change 1990-2000","Billion Btu",4.11
"MA","Renewable-Production","Percent Change 2000-2010","Billion Btu",-22.00
"MA","Renewable-Production","Percent Change 2010-2020","Billion Btu",23.40
"MA","Renewable-Production","Percent Change 1980-1990","Billion Btu",-7.12
"MA","Renewable-Production","Change 1970-1980","Billion Btu",14904
"MD","Fossil Fuel-Consumption","Percent Change 1980-1990","Billion Btu",2.87
"MD","Fossil Fuel-Consumption","Change 1980-1990","Billion Btu",41248
"MD","Fossil Fuel-Consumption","Percent Change 1990-2000","Billion Btu",6.73
"MD","Fossil Fuel-Consumption","Change 2000-2010","Billion Btu",-95878
"MD","Fossil Fuel-Consumption","Percent Change 2000-2010","Billion Btu",-6.30
"MD","Fossil Fuel-Consumption","Change 1970-1980","Billion Btu",-68180
"MD","Fossil Fuel-Consumption","Percent Change 2010-2020","Billion Btu",-19.12
"MD","Fossil Fuel-Consumption","Change 2010-2020","Billion Btu",-236551
"MD","Fossil Fuel-Consumption","Percent Change 1970-1980","Billion Btu",-4.76
"MD","Fossil Fuel-Consumption","Change 1990-2000","Billion Btu",105333
"MD","Fossil Fuel-Production","Change 1990-2000","Billion Btu",22582
"MD","Fossil Fuel-Production","Percent Change 1970-1980","Billion Btu",44.23
"MD","Fossil Fuel-Production","Change 2000-2010","Billion Btu",-51789
"MD","Fossil Fuel-Production","Percent Change 2010-2020","Billion Btu",-55.27
"MD","Fossil Fuel-Production","Percent Change 1980-1990","Billion Btu",-1.13
"MD","Fossil Fuel-Production","Change 1980-1990","Billion Btu",-1495
"MD","Fossil Fuel-Production","Change 1970-1980","Billion Btu",48621
"MD","Fossil Fuel-Production","Percent Change 2000-2010","Billion Btu",-45.39
"MD","Fossil Fuel-Production","Change 2010-2020","Billion Btu",-31394
"MD","Fossil Fuel-Production","Percent Change 1990-2000","Billion Btu",14.61
"MD","Nuclear-Consumption","Change 1980-1990","Billion Btu",-106167
"MD","Nuclear-Consumption","Change 2000-2010","Billion Btu",2061
"MD","Nuclear-Consumption","Percent Change 2010-2020","Billion Btu",4.86
"MD","Nuclear-Consumption","Percent Change 1980-1990","Billion Btu",-145.54
"MD","Nuclear-Consumption","Percent Change 1990-2000","Billion Btu",86.83
"MD","Nuclear-Consumption","Change 1990-2000","Billion Btu",130962
"MD","Nuclear-Consumption","Percent Change 2000-2010","Billion Btu",0.94
"MD","Nuclear-Consumption","Change 2010-2020","Billion Btu",11206
"MD","Nuclear-Consumption","Change 1970-1980","Billion Btu",119409
"MD","Nuclear-Consumption","Percent Change 1970-1980","Billion Btu",100.00
"MD","Renewable-Consumption","Percent Change 1980-1990","Billion Btu",6.43
"MD","Renewable-Consumption","Change 2000-2010","Billion Btu",17781
"MD","Renewable-Consumption","Change 1970-1980","Billion Btu",-5959
"MD","Renewable-Consumption","Percent Change 2010-2020","Billion Btu",-4.78
"MD","Renewable-Consumption","Change 2010-2020","Billion Btu",-4925
"MD","Renewable-Consumption","Percent Change 2000-2010","Billion Btu",17.97
"MD","Renewable-Consumption","Percent Change 1990-2000","Billion Btu",4.51
"MD","Renewable-Consumption","Change 1990-2000","Billion Btu",3578
"MD","Renewable-Consumption","Percent Change 1970-1980","Billion Btu",-8.31
"MD","Renewable-Consumption","Change 1980-1990","Billion Btu",4723
"MD","Renewable-Production","Change 1970-1980","Billion Btu",-11917
"MD","Renewable-Production","Percent Change 2000-2010","Billion Btu",-6.90
"MD","Renewable-Production","Change 1980-1990","Billion Btu",9446
"MD","Renewable-Production","Change 2010-2020","Billion Btu",-2874
"MD","Renewable-Production","Change 2000-2010","Billion Btu",-10440
"MD","Renewable-Production","Percent Change 2010-2020","Billion Btu",-2.01
"MD","Renewable-Production","Percent Change 1990-2000","Billion Btu",4.22
"MD","Renewable-Production","Percent Change 1980-1990","Billion Btu",6.43
"MD","Renewable-Production","Percent Change 1970-1980","Billion Btu",-8.31
"MD","Renewable-Production","Change 1990-2000","Billion Btu",6679
"ME","Fossil Fuel-Consumption","Change 1970-1980","Billion Btu",-30943
"ME","Fossil Fuel-Consumption","Percent Change 2010-2020","Billion Btu",-19.49
"ME","Fossil Fuel-Consumption","Change 1990-2000","Billion Btu",54939
"ME","Fossil Fuel-Consumption","Change 2010-2020","Billion Btu",-66849
"ME","Fossil Fuel-Consumption","Percent Change 1990-2000","Billion Btu",12.25
"ME","Fossil Fuel-Consumption","Percent Change 1980-1990","Billion Btu",16.18
"ME","Fossil Fuel-Consumption","Change 2000-2010","Billion Btu",-44144
"ME","Fossil Fuel-Consumption","Percent Change 1970-1980","Billion Btu",-9.65
"ME","Fossil Fuel-Consumption","Percent Change 2000-2010","Billion Btu",-10.22
"ME","Fossil Fuel-Consumption","Change 1980-1990","Billion Btu",58922
"ME","Fossil Fuel-Production","Percent Change 2000-2010","Billion Btu",0
"ME","Fossil Fuel-Production","Change 2010-2020","Billion Btu",0
"ME","Fossil Fuel-Production","Percent Change 1970-1980","Billion Btu",0
"ME","Fossil Fuel-Production","Change 2000-2010","Billion Btu",0
"ME","Fossil Fuel-Production","Change 1970-1980","Billion Btu",0
"ME","Fossil Fuel-Production","Percent Change 1990-2000","Billion Btu",0
"ME","Fossil Fuel-Production","Percent Change 1980-1990","Billion Btu",0
"ME","Fossil Fuel-Production","Change 1980-1990","Billion Btu",0
"ME","Fossil Fuel-Production","Percent Change 2010-2020","Billion Btu",0
"ME","Fossil Fuel-Production","Change 1990-2000","Billion Btu",0
"ME","Nuclear-Consumption","Change 1980-1990","Billion Btu",3396
"ME","Nuclear-Consumption","Percent Change 2000-2010","Billion Btu",0
"ME","Nuclear-Consumption","Change 1970-1980","Billion Btu",48040
"ME","Nuclear-Consumption","Percent Change 1970-1980","Billion Btu",100.00
